,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
127,AT,127,2002-3-28,2002-3-28,1.960108633,-72.655172,CR046671,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,4.0,0,0,0,0,0,95015,2002
128,AT,128,2003-7-2,2003-7-2,1.92946706,-76.21763745,CR047087,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,41359,2003
129,AT,129,2003-8-10,2003-8-10,3.701879876,-73.69561782,CR047110,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,50689,2003
130,AT,130,2003-11-1,2003-11-1,1.61792293,-75.60856043,CR047153,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,18001,2003
131,AT,131,2006-8-4,2006-8-4,3.414414305,-76.52156515,CR047498,DESCONOCIDO,NO APLICA,,,,,7.0,0,0,0,0,0,76001,2006
132,AT,132,2015-11-5,2015-11-5,2.001109223,-76.7788973,CR047869,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,0.0,0,0,0,0,0,19397,2015
133,AT,133,2012-2-27,2012-2-27,8.576771365,-73.09484592,CR047946,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,54250,2012
134,AT,134,1992-9-1,1992-9-1,6.246715564,-75.58171333,CR048156,DESCONOCIDO,NO APLICA,,,,,9.0,0,0,0,0,0,5001,1992
135,AT,135,2002-11-16,2002-11-16,11.2294335,-74.19089412,CR048326,GUERRILLA,FARC,,,,,2.0,0,0,1,0,0,47001,2002
136,AT,136,2014-6-7,2014-6-7,6.246715564,-75.58171333,CR048444,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,5001,2014
137,AT,137,2011-12-5,2011-12-5,11.37832678,-72.24190502,CR048476,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,44430,2011
138,AT,138,2003-8-24,2003-8-24,2.939743676,-73.20651333,CR048988,GUERRILLA,FARC,,,,,5.0,0,0,1,0,0,50590,2003
139,AT,139,2014-1-16,2014-1-16,6.916808512,-75.67473253,CR080122,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,5647,2014
140,AT,140,1997-2-3,1997-2-3,7.436631552,-77.11310959,CR102116,GRUPO ARMADO NO DIRIMIDO,NO APLICA,,,,,1.0,0,0,0,0,0,27615,1997
141,AT,141,2007-1-21,2007-1-21,3.875802437,-77.0117402,CR2017185401,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,76109,2007
142,AT,142,1992-11-7,1992-11-7,6.439226882,-75.33164423,CR2017189655,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,,,1.0,0,0,1,0,0,5079,1992
143,AT,143,2001-8-9,2001-8-9,7.916581824,-72.78683006,CR2017195048,GUERRILLA,ELN,,,,,2.0,0,0,1,0,0,54313,2001
144,AT,144,2012-6-19,2012-6-19,2.522447597,-75.31537288,CR2017200991,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,41020,2012
145,AT,145,2012-10-30,2012-10-30,2.115670227,-76.98097859,CR2017203550,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,19532,2012
146,AT,146,2002-12-2,2002-12-2,10.51021405,-73.07167902,CR2017421647,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,44420,2002
147,AT,147,2001-12-24,2001-12-24,3.546694724,-73.70571533,CR2017500471,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,50313,2001
148,AT,148,2011-10-24,2011-10-24,1.085193359,-77.61688638,CR2017511102,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,1.0,0,0,0,0,0,52838,2011
149,AT,149,2012-4-11,2012-4-11,2.040478768,-77.21589814,CR2017511104,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,19075,2012
150,AT,150,1988-3-29,1988-3-29,4.65017303,-74.107359,CR2017511123,GRUPO PARAMILITAR,OTRO,,,,,0.0,0,0,0,1,0,11001,1988
151,AT,151,2000-11-19,2000-11-19,4.01159776,-75.60600233,CR2017521513,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,73622,2000
152,AT,152,2012-9-24,2012-9-24,1.335351879,-77.59445713,CR2017521875,DESCONOCIDO,NO APLICA,,,,,0.0,0,0,0,0,0,52678,2012
153,AT,153,2007-6-26,2007-6-26,3.93032998,-77.35596327,CR2017649202,GUERRILLA,FARC,,,,,2.0,0,0,1,0,0,76109,2007
154,AT,154,2022-1-19,2022-1-19,6.95385957,-71.87233343,CR2017679826,GUERRILLA,DISIDENCIA FARC,,,,,1.0,0,0,1,0,0,81736,2022
155,AT,155,2022-2-16,2022-2-16,2.45137136,-76.81077225,CR2017679973,GUERRILLA,DISIDENCIA FARC,,,,,5.0,0,0,1,0,0,19256,2022
156,AT,156,1989-10-16,1989-10-16,7.116267276,-73.13259818,,GUERRILLA,NO IDENTIFICADA,,,,,3.0,0,0,1,0,0,68001,1989
157,AT,157,1990-6-28,1990-6-28,6.246715564,-75.58171333,,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,14.0,0,0,0,0,0,5001,1990
158,AT,158,1991-6-1,1991-6-1,5.057688197,-75.49104898,,GUERRILLA,EPL,,,,,4.0,0,0,1,0,0,17001,1991
159,AT,159,1993-2-10,1993-2-10,7.064963864,-73.84995698,,GUERRILLA,NO IDENTIFICADA,,,,,16.0,0,0,1,0,0,68081,1993
160,AT,160,1995-6-10,1995-6-10,6.246715564,-75.58171333,,DESCONOCIDO,NO APLICA,,,,,1.0,0,0,0,0,0,5001,1995
161,AT,161,1995-6-10,1995-6-10,6.246715564,-75.58171333,,GUERRILLA,FARC,,,,,23.0,0,0,1,0,0,5001,1995
162,AT,162,1997-10-14,1997-10-14,1.908935073,-75.15748874,,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,18592,1997
163,AT,163,1998-2-6,1998-2-6,4.439355814,-74.52316032,,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,25878,1998
164,AT,164,1998-9-18,1998-9-18,9.736932014,-75.5230307,,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,,,,,4.0,0,0,0,1,0,70713,1998
165,AT,165,1999-5-30,1999-5-30,8.998278492,-72.89972106,,GRUPO PARAMILITAR,NO IDENTIFICADO,,,,,1.0,0,0,0,1,0,54810,1999
166,AT,166,2000-3-9,2000-3-9,8.745132591,-75.87557791,,GRUPO PARAMILITAR,NO IDENTIFICADO,,,,,1.0,0,0,0,1,0,23001,2000
167,AT,167,2000-11-5,2000-11-5,3.414414305,-76.52156515,,GUERRILLA,ELN,,,,,1.0,0,0,1,0,0,76001,2000
168,AT,168,2002-4-14,2002-4-14,10.97592682,-74.79525905,,GUERRILLA,FARC,,,,,4.0,0,0,1,0,0,8001,2002
169,AT,169,2002-4-15,2002-4-15,3.26227576,-76.54245873,,GRUPO PARAMILITAR,NO IDENTIFICADO,,,,,3.0,0,0,0,1,0,76364,2002
170,AT,170,2002-9-6,2002-9-6,4.827187832,-75.68246912,,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,2.0,0,0,0,0,0,66170,2002
